*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Mar  7 10:34:00 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Nov-16 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Feb-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459534.500000000, A.D. 2021-Nov-16 00:00:00.0000,  8.665125634314385E+07,  1.195578735302949E+08,  1.910196771201491E+04,
2459535.500000000, A.D. 2021-Nov-17 00:00:00.0000,  8.452575849558081E+07,  1.210570309805920E+08,  1.898871744708717E+04,
2459536.500000000, A.D. 2021-Nov-18 00:00:00.0000,  8.237420164625950E+07,  1.225194087114696E+08,  1.886580856511742E+04,
2459537.500000000, A.D. 2021-Nov-19 00:00:00.0000,  8.019719881141949E+07,  1.239445719586961E+08,  1.873728682504594E+04,
2459538.500000000, A.D. 2021-Nov-20 00:00:00.0000,  7.799536582439356E+07,  1.253320903457716E+08,  1.860739690367877E+04,
2459539.500000000, A.D. 2021-Nov-21 00:00:00.0000,  7.576932253945120E+07,  1.266815373392911E+08,  1.848043487823755E+04,
2459540.500000000, A.D. 2021-Nov-22 00:00:00.0000,  7.351969404546906E+07,  1.279924899348379E+08,  1.836060978575051E+04,
2459541.500000000, A.D. 2021-Nov-23 00:00:00.0000,  7.124711183617394E+07,  1.292645285500452E+08,  1.825191766045243E+04,
2459542.500000000, A.D. 2021-Nov-24 00:00:00.0000,  6.895221489718534E+07,  1.304972370656780E+08,  1.815802876241505E+04,
2459543.500000000, A.D. 2021-Nov-25 00:00:00.0000,  6.663565071094076E+07,  1.316902029306518E+08,  1.808218427135795E+04,
2459544.500000000, A.D. 2021-Nov-26 00:00:00.0000,  6.429807624051502E+07,  1.328430172481333E+08,  1.802709388673306E+04,
2459545.500000000, A.D. 2021-Nov-27 00:00:00.0000,  6.194015901910549E+07,  1.339552747981510E+08,  1.799482211291045E+04,
2459546.500000000, A.D. 2021-Nov-28 00:00:00.0000,  5.956257852597770E+07,  1.350265740355517E+08,  1.798665030805767E+04,
2459547.500000000, A.D. 2021-Nov-29 00:00:00.0000,  5.716602804557716E+07,  1.360565172356515E+08,  1.800290620347112E+04,
2459548.500000000, A.D. 2021-Nov-30 00:00:00.0000,  5.475121714184533E+07,  1.370447111364253E+08,  1.804276569199562E+04,
2459549.500000000, A.D. 2021-Dec-01 00:00:00.0000,  5.231887467709020E+07,  1.379907686020697E+08,  1.810405597399175E+04,
2459550.500000000, A.D. 2021-Dec-02 00:00:00.0000,  4.986975192389493E+07,  1.388943118957707E+08,  1.818312289460003E+04,
2459551.500000000, A.D. 2021-Dec-03 00:00:00.0000,  4.740462482051019E+07,  1.397549779170149E+08,  1.827485543281585E+04,
2459552.500000000, A.D. 2021-Dec-04 00:00:00.0000,  4.492429406620593E+07,  1.405724250870558E+08,  1.837295918177813E+04,
2459553.500000000, A.D. 2021-Dec-05 00:00:00.0000,  4.242958196399824E+07,  1.413463405901272E+08,  1.847051008450985E+04,
